No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,Karbo_Clean,Keyword_Semantik,enhanced_corpus_mccbf,corpus_rf
377,ayam telur okonomiyaki super,ayam,547,nasi kuning,menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam telur okonomiyaki super menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam telur okonomiyaki super menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi
378,udang saus lada hitam chef s choice,sapi,546,nasi putih,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi putih blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi
379,opor susu legenda yellowfit,ayam,546,nasi merah,menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,opor susu legenda yellowfit menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah,opor susu legenda yellowfit menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi
380,udang saus lada hitam yellowfit,sapi,530,nasi merah,menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,blackpepper,udang saus lada hitam yellowfit menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah blackpepper,udang saus lada hitam yellowfit menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi
381,mac diet panas spesial istimewa,ayam,530,pasta,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,[],,,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,mac diet panas spesial istimewa menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi
382,ayam asam manis sehat yellowfit,ayam,530,nasi putih,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi
383,khao soi noodle super,ayam,532,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,[],,,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi
384,sapi short ribs rendang khas,sapi,518,nasi merah,menu beef short ribs rendang signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,sapi short ribs rendang khas menu beef short ribs rendang signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,sapi short ribs rendang khas menu beef short ribs rendang signature ala yellow fit kitchen rendah kalori dan bergizi
385,udang cake thailand saus,ikan,538,nasi hitam,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,[],,,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,udang cake thailand saus menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi
386,ayam goreng kunyit khas,ayam,525,nasi putih,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi
387,ayam telur okonomiyaki super,ayam,542,nasi merah,menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam telur okonomiyaki super menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam telur okonomiyaki super menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi
388,ayam asam manis sehat istimewa,ayam,532,nasi hitam,menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam manis,ayam asam manis sehat istimewa menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi  protein ayam manis,ayam asam manis sehat istimewa menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi
389,piza fit chef s choice,ayam,533,nasi hitam,menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,,piza fit chef s choice menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,piza fit chef s choice menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi
390,sehat japanese sushi roll,ayam,511,nasi merah,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi nasi merah,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi
391,ayam telur okonomiyaki spesial,ayam,518,nasi putih,menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam,ayam telur okonomiyaki spesial menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam,ayam telur okonomiyaki spesial menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi
392,ayam truffle meatballs yellowfit,ayam,528,nasi merah,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi
393,ayam goreng kunyit,ayam,527,nasi kuning,menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam goreng,ayam goreng kunyit menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi  protein ayam goreng,ayam goreng kunyit menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi
394,ayam asam manis sehat chef s choice,ayam,537,nasi putih,menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam manis,ayam asam manis sehat chef s choice menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam manis,ayam asam manis sehat chef s choice menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi
395,ayam truffle meatballs istimewa,ayam,517,jagung,menu chicken truffle meatballs deluxe ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,protein ayam,ayam truffle meatballs istimewa menu chicken truffle meatballs deluxe ala yellow fit kitchen rendah kalori dan bergizi jagung protein ayam,ayam truffle meatballs istimewa menu chicken truffle meatballs deluxe ala yellow fit kitchen rendah kalori dan bergizi
396,hamburg stik saus teriyaki,ayam,537,nasi merah,menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,teriyaki,hamburg stik saus teriyaki menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi nasi merah teriyaki,hamburg stik saus teriyaki menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi
397,japanese sapi teriyaki bread yellowfit,sapi,522,pasta,menu japanese beef teriyaki bread yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi teriyaki,japanese sapi teriyaki bread yellowfit menu japanese beef teriyaki bread yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein sapi teriyaki,japanese sapi teriyaki bread yellowfit menu japanese beef teriyaki bread yellowfit ala yellow fit kitchen rendah kalori dan bergizi
398,soto betawi ayam,ayam,529,jagung,menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,protein ayam,soto betawi ayam menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi jagung protein ayam,soto betawi ayam menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi
399,ayam soy garlic yangnyeom super,ayam,530,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi
400,ayam asam manis sehat khas,ayam,525,nasi putih,menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam manis,ayam asam manis sehat khas menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam manis,ayam asam manis sehat khas menu ayam asam manis healthy signature ala yellow fit kitchen rendah kalori dan bergizi
401,indonesian sapi bakso,sapi,533,nasi kuning,menu indonesian beef bakso ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,indonesian sapi bakso menu indonesian beef bakso ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,indonesian sapi bakso menu indonesian beef bakso ala yellow fit kitchen rendah kalori dan bergizi
402,thai coconut kari baby corn,ayam,530,nasi merah,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi nasi merah,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi
403,telur mata sapi balado spesial,sapi,520,nasi hitam,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi
404,sehat japanese sushi roll,ayam,527,nasi hitam,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,[],,,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,sehat japanese sushi roll menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi
405,mac diet panas spesial spesial,ayam,527,nasi merah,menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,mac diet panas spesial spesial menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi nasi merah,mac diet panas spesial spesial menu mac diet panas special special ala yellow fit kitchen rendah kalori dan bergizi
406,slow cooked sapi istimewa,sapi,525,nasi merah,menu slow cooked beef deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,slow cooked sapi istimewa menu slow cooked beef deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,slow cooked sapi istimewa menu slow cooked beef deluxe ala yellow fit kitchen rendah kalori dan bergizi
407,panggang ikan mozaru spesial,ikan,530,pasta,menu baked fish mozaru special ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ikan panggang,panggang ikan mozaru spesial menu baked fish mozaru special ala yellow fit kitchen rendah kalori dan bergizi  protein ikan panggang,panggang ikan mozaru spesial menu baked fish mozaru special ala yellow fit kitchen rendah kalori dan bergizi
408,spageti ayam geprek spesial,ayam,523,nasi merah,menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,spageti ayam geprek spesial menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,spageti ayam geprek spesial menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi
409,salmon red thai kari chef s choice,ikan,535,nasi hitam,menu salmon red thai curry chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ikan,salmon red thai kari chef s choice menu salmon red thai curry chef s choice ala yellow fit kitchen rendah kalori dan bergizi  protein ikan,salmon red thai kari chef s choice menu salmon red thai curry chef s choice ala yellow fit kitchen rendah kalori dan bergizi
410,panggang ikan mozaru super,ikan,547,nasi hitam,menu baked fish mozaru supreme ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ikan panggang,panggang ikan mozaru super menu baked fish mozaru supreme ala yellow fit kitchen rendah kalori dan bergizi  protein ikan panggang,panggang ikan mozaru super menu baked fish mozaru supreme ala yellow fit kitchen rendah kalori dan bergizi
411,telur mata sapi balado super,sapi,511,nasi merah,menu telur mata sapi balado supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,telur mata sapi balado super menu telur mata sapi balado supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,telur mata sapi balado super menu telur mata sapi balado supreme ala yellow fit kitchen rendah kalori dan bergizi
412,japanese sapi teriyaki bread super,sapi,533,nasi merah,menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi teriyaki,japanese sapi teriyaki bread super menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi teriyaki,japanese sapi teriyaki bread super menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi
413,sapi short ribs rendang spesial,sapi,546,nasi merah,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi
414,khao soi noodle super,ayam,525,nasi putih,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi nasi putih,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi
415,udang saus lada hitam chef s choice,sapi,512,nasi hitam,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,[],,blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi  blackpepper,udang saus lada hitam chef s choice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi
416,torikatsu ayam ramen chef s choice,ayam,537,nasi merah,menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,torikatsu ayam ramen chef s choice menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,torikatsu ayam ramen chef s choice menu torikatsu chicken ramen chef s choice ala yellow fit kitchen rendah kalori dan bergizi
417,thai coconut kari baby corn,ayam,546,nasi merah,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi nasi merah,thai coconut kari baby corn menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi
418,indonesian sapi bakso khas,sapi,533,nasi putih,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi
419,ayam betutu sambal matah,ayam,532,nasi hitam,menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam betutu sambal matah menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam betutu sambal matah menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi
420,ayam asam manis sehat yellowfit,ayam,530,jagung,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],jagung,protein ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi jagung protein ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi
421,piza fit khas,ayam,549,nasi putih,menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,,piza fit khas menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi nasi putih,piza fit khas menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi
422,bakwan sayur sehat,vegetarian,530,nasi merah,menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,bakwan sayur sehat menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi nasi merah,bakwan sayur sehat menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi
423,udang saus lada hitam yellowfit,sapi,544,nasi merah,menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,blackpepper,udang saus lada hitam yellowfit menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah blackpepper,udang saus lada hitam yellowfit menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi
424,slow cooked sapi khas,sapi,518,nasi merah,menu slow cooked beef signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,slow cooked sapi khas menu slow cooked beef signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,slow cooked sapi khas menu slow cooked beef signature ala yellow fit kitchen rendah kalori dan bergizi
425,ayam telur okonomiyaki istimewa,ayam,543,nasi hitam,menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam telur okonomiyaki istimewa menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam telur okonomiyaki istimewa menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi
426,opor susu legenda spesial,ayam,511,nasi hitam,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,[],,,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi
427,ayam truffle meatballs yellowfit,ayam,511,nasi kuning,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi
428,ayam goreng kunyit khas,ayam,533,nasi merah,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi
429,opor susu legenda chef s choice,ayam,511,nasi merah,menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,opor susu legenda chef s choice menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah,opor susu legenda chef s choice menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi
430,mac diet panas spesial khas,ayam,537,nasi kuning,menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,[],,,mac diet panas spesial khas menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,mac diet panas spesial khas menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi
431,khao soi noodle super,ayam,527,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,[],,,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi
432,ayam asam manis sehat yellowfit,ayam,511,nasi merah,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi
433,ayam goreng kunyit chef s choice,ayam,519,nasi merah,menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam goreng,ayam goreng kunyit chef s choice menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam goreng,ayam goreng kunyit chef s choice menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi
434,torikatsu ayam ramen spesial,ayam,544,nasi hitam,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi  protein ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi
435,torikatsu ayam ramen khas,ayam,541,nasi merah,menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,torikatsu ayam ramen khas menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,torikatsu ayam ramen khas menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi
436,nasi uduk saus kacang super,ayam,518,nasi merah,menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,nasi uduk saus kacang super menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah,nasi uduk saus kacang super menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi
437,sapi short ribs rendang spesial,sapi,542,nasi kuning,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi
438,ayam asam manis sehat,ayam,511,nasi hitam,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,[],,protein ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi  protein ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi
439,ayam goreng kunyit istimewa,ayam,525,nasi putih,menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam goreng,ayam goreng kunyit istimewa menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam goreng,ayam goreng kunyit istimewa menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi
440,udang cake thailand saus chef s choice,ikan,532,nasi merah,menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,udang cake thailand saus chef s choice menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah,udang cake thailand saus chef s choice menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi
441,indonesian sapi bakso khas,sapi,532,nasi kuning,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,[],,protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi  protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi
442,udang cake thailand saus istimewa,ikan,520,nasi merah,menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,udang cake thailand saus istimewa menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah,udang cake thailand saus istimewa menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi
443,piza fit istimewa,ayam,542,nasi merah,menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,,piza fit istimewa menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah,piza fit istimewa menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi
444,telur mata sapi balado spesial,sapi,520,nasi merah,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi
445,cheese buldak ayam yellowfit,ayam,532,nasi putih,menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],nasi putih,protein ayam,cheese buldak ayam yellowfit menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein ayam,cheese buldak ayam yellowfit menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi
446,thai coconut kari baby corn spesial,ayam,457,nasi hitam,menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,[],,,thai coconut kari baby corn spesial menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,thai coconut kari baby corn spesial menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi
447,ayam soy garlic yangnyeom super,ayam,529,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi
448,opor susu legenda istimewa,ayam,499,nasi kuning,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,[],,,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi
449,indonesian sapi bakso khas,sapi,481,nasi merah,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],nasi merah,protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi
