No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean,Nama_Lower,Deskripsi_Lower,Keyword_Semantik,enhanced_corpus,enhanced_corpus_mccbf,corpus_rf
426,Opor Susu Legenda Spesial,ayam,511,nasi hitam,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",opor susu legenda special lainnya nasi hitam menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,opor susu legenda spesial,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda spesial ayam hitam nasi menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi ,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi nasi hitam ,opor susu legenda spesial menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi
427,Ayam Truffle Meatballs Yellowfit,ayam,511,nasi kuning,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",chicken truffle meatballs yellowfit ayam nasi kuning menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,ayam truffle meatballs yellowfit,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam truffle meatballs yellowfit ayam kuning nasi menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi kuning protein_ayam,ayam truffle meatballs yellowfit menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi
428,Ayam Goreng Kunyit Khas,ayam,533,nasi merah,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ayam goreng kunyit signature ayam nasi merah menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam goreng kunyit khas,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit khas ayam merah nasi menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi protein_ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam goreng,ayam goreng kunyit khas menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi
429,Opor Susu Legenda Chef S Choice,ayam,511,nasi merah,menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",opor susu legenda chef s choice lainnya nasi merah menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,opor susu legenda chef s choice,menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda chef s choice ayam merah nasi menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi ,opor susu legenda chef s choice menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,opor susu legenda chef s choice menu opor susu legenda chef s choice ala yellow fit kitchen rendah kalori dan bergizi
430,Mac Diet Panas Spesial Khas,ayam,537,nasi kuning,menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",mac diet panas special signature lainnya nasi kuning menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,mac diet panas spesial khas,menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi,,mac diet panas spesial khas ayam kuning nasi menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi ,mac diet panas spesial khas menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,mac diet panas spesial khas menu mac diet panas special signature ala yellow fit kitchen rendah kalori dan bergizi
431,Khao Soi Noodle Super,ayam,527,nasi kuning,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",khao soi noodle supreme lainnya nasi kuning menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,khao soi noodle super,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,,khao soi noodle super ayam kuning nasi menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,khao soi noodle super menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi
432,Ayam Asam Manis Sehat Yellowfit,ayam,511,nasi merah,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ayam asam manis healthy yellowfit ayam nasi merah menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam asam manis sehat yellowfit,menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam manis,ayam asam manis sehat yellowfit ayam merah nasi menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi protein_ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam manis,ayam asam manis sehat yellowfit menu ayam asam manis healthy yellowfit ala yellow fit kitchen rendah kalori dan bergizi
433,Ayam Goreng Kunyit Chef S Choice,ayam,519,nasi merah,menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ayam goreng kunyit chef s choice ayam nasi merah menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam goreng kunyit chef s choice,menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit chef s choice ayam merah nasi menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi protein_ayam goreng,ayam goreng kunyit chef s choice menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam goreng,ayam goreng kunyit chef s choice menu ayam goreng kunyit chef s choice ala yellow fit kitchen rendah kalori dan bergizi
434,Torikatsu Ayam Ramen Spesial,ayam,544,nasi hitam,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",torikatsu chicken ramen special ayam nasi hitam menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,torikatsu ayam ramen spesial,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,torikatsu ayam ramen spesial ayam hitam nasi menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_ayam,torikatsu ayam ramen spesial menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi
435,Torikatsu Ayam Ramen Khas,ayam,541,nasi merah,menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",torikatsu chicken ramen signature ayam nasi merah menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,torikatsu ayam ramen khas,menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,torikatsu ayam ramen khas ayam merah nasi menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,torikatsu ayam ramen khas menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,torikatsu ayam ramen khas menu torikatsu chicken ramen signature ala yellow fit kitchen rendah kalori dan bergizi
436,Nasi Uduk Saus Kacang Super,ayam,518,nasi merah,menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",nasi uduk saus kacang supreme lainnya nasi merah menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,nasi uduk saus kacang super,menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi,,nasi uduk saus kacang super ayam merah nasi menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi ,nasi uduk saus kacang super menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,nasi uduk saus kacang super menu nasi uduk saus kacang supreme ala yellow fit kitchen rendah kalori dan bergizi
437,Sapi Short Ribs Rendang Spesial,sapi,542,nasi kuning,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",beef short ribs rendang special sapi nasi kuning menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,sapi short ribs rendang spesial,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,sapi short ribs rendang spesial sapi kuning nasi menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi protein_sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi nasi kuning protein_sapi,sapi short ribs rendang spesial menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi
438,Ayam Asam Manis Sehat,ayam,511,nasi hitam,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",ayam asam manis healthy ayam nasi hitam menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,ayam asam manis sehat,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam manis,ayam asam manis sehat ayam hitam nasi menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi protein_ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi nasi hitam protein_ayam manis,ayam asam manis sehat menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi
439,Ayam Goreng Kunyit Istimewa,ayam,525,nasi putih,menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",ayam goreng kunyit deluxe ayam nasi putih menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,ayam goreng kunyit istimewa,menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam goreng,ayam goreng kunyit istimewa ayam putih nasi menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi protein_ayam goreng,ayam goreng kunyit istimewa menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein_ayam goreng,ayam goreng kunyit istimewa menu ayam goreng kunyit deluxe ala yellow fit kitchen rendah kalori dan bergizi
440,Udang Cake Thailand Saus Chef S Choice,ikan,532,nasi merah,menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",prawn cake thailand sauce chef s choice ikan nasi merah menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,udang cake thailand saus chef s choice,menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,,udang cake thailand saus chef s choice ikan merah nasi menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi ,udang cake thailand saus chef s choice menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,udang cake thailand saus chef s choice menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi
441,Indonesian Sapi Bakso Khas,sapi,532,nasi kuning,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",indonesian beef bakso signature sapi nasi kuning menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,indonesian sapi bakso khas,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,indonesian sapi bakso khas sapi kuning nasi menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi protein_sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi nasi kuning protein_sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi
442,Udang Cake Thailand Saus Istimewa,ikan,520,nasi merah,menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",prawn cake thailand sauce deluxe ikan nasi merah menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,udang cake thailand saus istimewa,menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi,,udang cake thailand saus istimewa ikan merah nasi menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi ,udang cake thailand saus istimewa menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,udang cake thailand saus istimewa menu prawn cake thailand sauce deluxe ala yellow fit kitchen rendah kalori dan bergizi
443,Piza Fit Istimewa,ayam,542,nasi merah,menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",pizza fit deluxe lainnya nasi merah menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,piza fit istimewa,menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi,,piza fit istimewa ayam merah nasi menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi ,piza fit istimewa menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi merah ,piza fit istimewa menu pizza fit deluxe ala yellow fit kitchen rendah kalori dan bergizi
444,Telur Mata Sapi Balado Spesial,sapi,520,nasi merah,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",telur mata sapi balado special lainnya nasi merah menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,telur mata sapi balado spesial,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,telur mata sapi balado spesial sapi merah nasi menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi protein_sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_sapi,telur mata sapi balado spesial menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi
445,Cheese Buldak Ayam Yellowfit,ayam,532,nasi putih,menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'putih']",cheese buldak chicken yellowfit ayam nasi putih menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih,cheese buldak ayam yellowfit,menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,cheese buldak ayam yellowfit ayam putih nasi menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,cheese buldak ayam yellowfit menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi nasi putih protein_ayam,cheese buldak ayam yellowfit menu cheese buldak chicken yellowfit ala yellow fit kitchen rendah kalori dan bergizi
446,Thai Coconut Kari Baby Corn Spesial,ayam,457,nasi hitam,menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'hitam']",thai coconut curry baby corn special lainnya nasi hitam menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam,thai coconut kari baby corn spesial,menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi,,thai coconut kari baby corn spesial ayam hitam nasi menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi ,thai coconut kari baby corn spesial menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi nasi hitam ,thai coconut kari baby corn spesial menu thai coconut curry baby corn special ala yellow fit kitchen rendah kalori dan bergizi
447,Ayam Soy Garlic Yangnyeom Super,ayam,529,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",chicken soy garlic yangnyeom supreme ayam nasi merah menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ayam soy garlic yangnyeom super,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,protein_ayam,ayam soy garlic yangnyeom super ayam merah nasi menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ayam,ayam soy garlic yangnyeom super menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi
448,Opor Susu Legenda Istimewa,ayam,499,nasi kuning,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'kuning']",opor susu legenda deluxe lainnya nasi kuning menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning,opor susu legenda istimewa,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,,opor susu legenda istimewa ayam kuning nasi menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi ,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi nasi kuning ,opor susu legenda istimewa menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi
449,Indonesian Sapi Bakso Khas,sapi,481,nasi merah,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",indonesian beef bakso signature sapi nasi merah menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,indonesian sapi bakso khas,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,protein_sapi,indonesian sapi bakso khas sapi merah nasi menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi protein_sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_sapi,indonesian sapi bakso khas menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi
450,Ikan Sambal Kecombrang Chef S Choice,ikan,518,nasi merah,menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi,"['nasi', 'merah']",ikan sambal kecombrang chef s choice ikan nasi merah menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah,ikan sambal kecombrang chef s choice,menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi,protein_ikan,ikan sambal kecombrang chef s choice ikan merah nasi menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi protein_ikan,ikan sambal kecombrang chef s choice menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi nasi merah protein_ikan,ikan sambal kecombrang chef s choice menu ikan sambal kecombrang chef s choice ala yellow fit kitchen rendah kalori dan bergizi
451,Tahu Goreng Kraton,vegetarian,280,nasi putih,tahu goreng dengan saus kacang gurih tanpa telur,"['nasi', 'putih']",tahu goreng kraton vegetarian nasi putih tahu goreng dengan saus kacang gurih tanpa telur,nasi putih,tahu goreng kraton,tahu goreng dengan saus kacang gurih tanpa telur,protein_vegetarian,tahu goreng kraton vegetarian nasi putih tahu goreng dengan saus kacang gurih tanpa telur protein_vegetarian,tahu goreng kraton tahu goreng dengan saus kacang gurih tanpa telur nasi putih protein_vegetarian,tahu goreng kraton tahu goreng dengan saus kacang gurih tanpa telur
452,Tahu Isi Sayuran,vegetarian,270,nasi merah,tahu diisi sayuran lalu digoreng hingga garing,"['nasi', 'merah']",tahu isi sayuran vegetarian nasi merah tahu diisi sayuran lalu digoreng hingga garing,nasi merah,tahu isi sayuran,tahu diisi sayuran lalu digoreng hingga garing,protein_vegetarian,tahu isi sayuran vegetarian nasi merah tahu diisi sayuran lalu digoreng hingga garing protein_vegetarian,tahu isi sayuran tahu diisi sayuran lalu digoreng hingga garing nasi merah protein_vegetarian,tahu isi sayuran tahu diisi sayuran lalu digoreng hingga garing
453,Tahu Bacem,vegetarian,220,nasi putih,tahu dengan bumbu bacem manis gurih tanpa santan,"['nasi', 'putih']",tahu bacem vegetarian nasi putih tahu dengan bumbu bacem manis gurih tanpa santan,nasi putih,tahu bacem,tahu dengan bumbu bacem manis gurih tanpa santan,protein_vegetarian,tahu bacem vegetarian nasi putih tahu dengan bumbu bacem manis gurih tanpa santan protein_vegetarian,tahu bacem tahu dengan bumbu bacem manis gurih tanpa santan nasi putih protein_vegetarian,tahu bacem tahu dengan bumbu bacem manis gurih tanpa santan
454,Tahu Sambal Ijo,vegetarian,260,nasi merah,tahu dengan bumbu sambal ijo pedas nikmat,"['nasi', 'merah']",tahu sambal ijo vegetarian nasi merah tahu dengan bumbu sambal ijo pedas nikmat,nasi merah,tahu sambal ijo,tahu dengan bumbu sambal ijo pedas nikmat,protein_vegetarian,tahu sambal ijo vegetarian nasi merah tahu dengan bumbu sambal ijo pedas nikmat protein_vegetarian,tahu sambal ijo tahu dengan bumbu sambal ijo pedas nikmat nasi merah protein_vegetarian,tahu sambal ijo tahu dengan bumbu sambal ijo pedas nikmat
455,Tahu Telur Orak-arik,vegetarian,290,kentang nasi putih,tahu dan telur dengan sayuran segar lauk tempe,"['kentang', 'nasi', 'putih']",tahu telur orak arik vegetarian kentang nasi putih tahu dan telur dengan sayuran segar lauk tempe,"kentang, nasi putih",tahu telur orak-arik,tahu dan telur dengan sayuran segar lauk tempe,protein_vegetarian,tahu telur orak arik vegetarian kentang nasi putih tahu dan telur dengan sayuran segar lauk tempe protein_vegetarian,tahu telur orak arik tahu dan telur dengan sayuran segar lauk tempe nasi putih kentang protein_vegetarian,tahu telur orak arik tahu dan telur dengan sayuran segar lauk tempe
456,Tahu Goreng Balado,vegetarian,275,nasi merah,tahu goreng dengan sambal balado pedas lauk tahu goreng,"['nasi', 'merah']",tahu goreng balado vegetarian nasi merah tahu goreng dengan sambal balado pedas lauk tahu goreng,nasi merah,tahu goreng balado,tahu goreng dengan sambal balado pedas lauk tahu goreng,protein_vegetarian,tahu goreng balado vegetarian nasi merah tahu goreng dengan sambal balado pedas lauk tahu goreng protein_vegetarian,tahu goreng balado tahu goreng dengan sambal balado pedas lauk tahu goreng nasi merah protein_vegetarian,tahu goreng balado tahu goreng dengan sambal balado pedas lauk tahu goreng
457,Tahu Kari,vegetarian,250,kentang nasi putih,kari tahu bumbu rempah tanpa santan rendah lemak,"['kentang', 'nasi', 'putih']",tahu kari vegetarian kentang nasi putih kari tahu bumbu rempah tanpa santan rendah lemak,"kentang, nasi putih",tahu kari,kari tahu bumbu rempah tanpa santan rendah lemak,protein_vegetarian,tahu kari vegetarian kentang nasi putih kari tahu bumbu rempah tanpa santan rendah lemak protein_vegetarian,tahu kari kari tahu bumbu rempah tanpa santan rendah lemak nasi putih kentang protein_vegetarian,tahu kari kari tahu bumbu rempah tanpa santan rendah lemak
458,Tahu Goreng Wijen,vegetarian,265,nasi putih,tahu goreng dengan taburan wijen wangi dan gurih,"['nasi', 'putih']",tahu goreng wijen vegetarian nasi putih tahu goreng dengan taburan wijen wangi dan gurih,nasi putih,tahu goreng wijen,tahu goreng dengan taburan wijen wangi dan gurih,protein_vegetarian,tahu goreng wijen vegetarian nasi putih tahu goreng dengan taburan wijen wangi dan gurih protein_vegetarian,tahu goreng wijen tahu goreng dengan taburan wijen wangi dan gurih nasi putih protein_vegetarian,tahu goreng wijen tahu goreng dengan taburan wijen wangi dan gurih
459,Tahu Saus Mentega,vegetarian,280,nasi merah,tahu dalam saus mentega klasik gurih rendah minyak,"['nasi', 'merah']",tahu saus mentega vegetarian nasi merah tahu dalam saus mentega klasik gurih rendah minyak,nasi merah,tahu saus mentega,tahu dalam saus mentega klasik gurih rendah minyak,protein_vegetarian,tahu saus mentega vegetarian nasi merah tahu dalam saus mentega klasik gurih rendah minyak protein_vegetarian,tahu saus mentega tahu dalam saus mentega klasik gurih rendah minyak nasi merah protein_vegetarian,tahu saus mentega tahu dalam saus mentega klasik gurih rendah minyak
460,Tahu Goreng Telur Asin,vegetarian,295,nasi putih,tahu goreng dengan telur asin gurih rendah minyak,"['nasi', 'putih']",tahu goreng telur asin vegetarian nasi putih tahu goreng dengan telur asin gurih rendah minyak,nasi putih,tahu goreng telur asin,tahu goreng dengan telur asin gurih rendah minyak,protein_vegetarian,tahu goreng telur asin vegetarian nasi putih tahu goreng dengan telur asin gurih rendah minyak protein_vegetarian,tahu goreng telur asin tahu goreng dengan telur asin gurih rendah minyak nasi putih protein_vegetarian,tahu goreng telur asin tahu goreng dengan telur asin gurih rendah minyak
461,Tempe Mendoan,vegetarian,240,nasi putih,tempe goreng dengan tepung bertekstur renyah lauk tahu,"['nasi', 'putih']",tempe mendoan vegetarian nasi putih tempe goreng dengan tepung bertekstur renyah lauk tahu,nasi putih,tempe mendoan,tempe goreng dengan tepung bertekstur renyah lauk tahu,protein_vegetarian,tempe mendoan vegetarian nasi putih tempe goreng dengan tepung bertekstur renyah lauk tahu protein_vegetarian,tempe mendoan tempe goreng dengan tepung bertekstur renyah lauk tahu nasi putih protein_vegetarian,tempe mendoan tempe goreng dengan tepung bertekstur renyah lauk tahu
462,Tempe Goreng Balado,vegetarian,255,nasi merah,tempe goreng dengan sambal balado pedas nikmat,"['nasi', 'merah']",tempe goreng balado vegetarian nasi merah tempe goreng dengan sambal balado pedas nikmat,nasi merah,tempe goreng balado,tempe goreng dengan sambal balado pedas nikmat,protein_vegetarian,tempe goreng balado vegetarian nasi merah tempe goreng dengan sambal balado pedas nikmat protein_vegetarian,tempe goreng balado tempe goreng dengan sambal balado pedas nikmat nasi merah protein_vegetarian,tempe goreng balado tempe goreng dengan sambal balado pedas nikmat
463,Tempe Kemiri,vegetarian,270,nasi putih,tempe dengan bumbu kemiri gurih tanpa santan,"['nasi', 'putih']",tempe kemiri vegetarian nasi putih tempe dengan bumbu kemiri gurih tanpa santan,nasi putih,tempe kemiri,tempe dengan bumbu kemiri gurih tanpa santan,protein_vegetarian,tempe kemiri vegetarian nasi putih tempe dengan bumbu kemiri gurih tanpa santan protein_vegetarian,tempe kemiri tempe dengan bumbu kemiri gurih tanpa santan nasi putih protein_vegetarian,tempe kemiri tempe dengan bumbu kemiri gurih tanpa santan
464,Tempe Kental Manis,vegetarian,260,nasi merah,tempe dengan saus kental manis lauk telur rebus,"['nasi', 'merah']",tempe kental manis vegetarian nasi merah tempe dengan saus kental manis lauk telur rebus,nasi merah,tempe kental manis,tempe dengan saus kental manis lauk telur rebus,protein_vegetarian,tempe kental manis vegetarian nasi merah tempe dengan saus kental manis lauk telur rebus protein_vegetarian,tempe kental manis tempe dengan saus kental manis lauk telur rebus nasi merah protein_vegetarian,tempe kental manis tempe dengan saus kental manis lauk telur rebus
465,Tempe Orek,vegetarian,245,nasi putih,tempe goreng dengan bumbu orek gurih rendah lemak,"['nasi', 'putih']",tempe orek vegetarian nasi putih tempe goreng dengan bumbu orek gurih rendah lemak,nasi putih,tempe orek,tempe goreng dengan bumbu orek gurih rendah lemak,protein_vegetarian,tempe orek vegetarian nasi putih tempe goreng dengan bumbu orek gurih rendah lemak protein_vegetarian,tempe orek tempe goreng dengan bumbu orek gurih rendah lemak nasi putih protein_vegetarian,tempe orek tempe goreng dengan bumbu orek gurih rendah lemak
