No,Nama_Menu,Kategori,Kalori,Sumber_Karbohidrat,Deskripsi_Menu,Karbo_List,corpus,Karbo_Clean
284,chicken ball blackpepper box,ayam,449,jagung nasi merah nasi putih,menu chicken ball blackpepper box yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken ball blackpepper box ayam jagung nasi merah nasi putih menu chicken ball blackpepper box yang sehat dan lezat,"jagung, nasi merah, nasi putih"
285,sempol ayam grill bowl,ayam,434,kentang ubi nasi merah nasi putih,menu sempol ayam grill bowl yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",sempol ayam grill bowl ayam kentang ubi nasi merah nasi putih menu sempol ayam grill bowl yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
286,dori katsu balado premium,ikan,436,jagung nasi merah nasi putih,menu dori katsu balado premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori katsu balado premium ikan jagung nasi merah nasi putih menu dori katsu balado premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
287,grilled chicken dietgo healthy,ayam,395,kentang ubi nasi merah nasi putih,menu grilled chicken dietgo healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",grilled chicken dietgo healthy ayam kentang ubi nasi merah nasi putih menu grilled chicken dietgo healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
288,pasta aglio eolio dori stick diet,ikan,428,jagung nasi merah nasi putih,menu pasta aglio eolio dori stick diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",pasta aglio eolio dori stick diet ikan jagung nasi merah nasi putih menu pasta aglio eolio dori stick diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
289,sapi cabe garam lengkap,sapi,423,kentang nasi merah nasi putih,menu sapi cabe garam lengkap yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",sapi cabe garam lengkap sapi kentang nasi merah nasi putih menu sapi cabe garam lengkap yang sehat dan lezat,"kentang, nasi merah, nasi putih"
290,soto bandung healthy,sapi,428,jagung nasi merah nasi putih,menu soto bandung healthy yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",soto bandung healthy sapi jagung nasi merah nasi putih menu soto bandung healthy yang sehat dan lezat,"jagung, nasi merah, nasi putih"
291,with brown rice healthy,lainnya,368,kentang ubi nasi merah nasi putih,menu with brown rice healthy yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",with brown rice healthy lainnya kentang ubi nasi merah nasi putih menu with brown rice healthy yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
292,dori stick premium,ikan,398,jagung nasi merah nasi putih,menu dori stick premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",dori stick premium ikan jagung nasi merah nasi putih menu dori stick premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
293,ayam sambel geprek bowl,ayam,418,kentang nasi merah nasi putih,menu ayam sambel geprek bowl yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",ayam sambel geprek bowl ayam kentang nasi merah nasi putih menu ayam sambel geprek bowl yang sehat dan lezat,"kentang, nasi merah, nasi putih"
294,beef yakiniku spesial,sapi,355,kentang nasi merah nasi putih,menu beef yakiniku spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",beef yakiniku spesial sapi kentang nasi merah nasi putih menu beef yakiniku spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
295,soto ayam spesial spesial,ayam,351,kentang nasi merah nasi putih,menu soto ayam spesial spesial yang sehat dan lezat,"['kentang', 'nasi merah', 'nasi putih']",soto ayam spesial spesial ayam kentang nasi merah nasi putih menu soto ayam spesial spesial yang sehat dan lezat,"kentang, nasi merah, nasi putih"
296,sei sapi with potatoes diet,sapi,368,jagung nasi merah nasi putih,menu sei sapi with potatoes diet yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",sei sapi with potatoes diet sapi jagung nasi merah nasi putih menu sei sapi with potatoes diet yang sehat dan lezat,"jagung, nasi merah, nasi putih"
297,sei sapi with lemonilo premium,sapi,427,kentang ubi nasi merah nasi putih,menu sei sapi with lemonilo premium yang sehat dan lezat,"['kentang', 'ubi', 'nasi merah', 'nasi putih']",sei sapi with lemonilo premium sapi kentang ubi nasi merah nasi putih menu sei sapi with lemonilo premium yang sehat dan lezat,"kentang, ubi, nasi merah, nasi putih"
298,chicken herbs grill egg tortila bowl,ayam,419,jagung nasi merah nasi putih,menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",chicken herbs grill egg tortila bowl ayam jagung nasi merah nasi putih menu chicken herbs grill egg tortila bowl yang sehat dan lezat,"jagung, nasi merah, nasi putih"
299,sei ayam with potatoes premium,ayam,391,jagung nasi merah kentang,menu sei ayam with potatoes premium yang sehat dan lezat,"['jagung', 'nasi merah', 'kentang']",sei ayam with potatoes premium ayam jagung nasi merah kentang menu sei ayam with potatoes premium yang sehat dan lezat,"jagung, nasi merah, kentang"
300,fish stick saus wijen premium,ikan,360,jagung nasi merah nasi putih,menu fish stick saus wijen premium yang sehat dan lezat,"['jagung', 'nasi merah', 'nasi putih']",fish stick saus wijen premium ikan jagung nasi merah nasi putih menu fish stick saus wijen premium yang sehat dan lezat,"jagung, nasi merah, nasi putih"
301,spaghetti ayam geprek,ayam,548,pasta,menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],spaghetti ayam geprek ayam pasta menu spaghetti ayam geprek ala yellow fit kitchen rendah kalori dan bergizi,pasta
302,healthy japanese sushi roll,lainnya,546,nasi coklat,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],healthy japanese sushi roll lainnya nasi coklat menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
303,telur mata sapi balado special,lainnya,527,pasta,menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],telur mata sapi balado special lainnya pasta menu telur mata sapi balado special ala yellow fit kitchen rendah kalori dan bergizi,pasta
304,salmon red thai curry yellowfit,ikan,538,pasta,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],salmon red thai curry yellowfit ikan pasta menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta
305,ayam asam manis healthy,ayam,536,red grain rice,menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam asam manis healthy ayam red grain rice menu ayam asam manis healthy ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
306,pizza fit,lainnya,527,pasta,menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],pizza fit lainnya pasta menu pizza fit ala yellow fit kitchen rendah kalori dan bergizi,pasta
307,ayam goreng kunyit,ayam,509,nasi merah,menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam goreng kunyit ayam nasi merah menu ayam goreng kunyit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
308,ayam goreng kunyit yellowfit,ayam,517,jagung,menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],ayam goreng kunyit yellowfit ayam jagung menu ayam goreng kunyit yellowfit ala yellow fit kitchen rendah kalori dan bergizi,jagung
309,khao soi noodle supreme,lainnya,471,jagung,menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],khao soi noodle supreme lainnya jagung menu khao soi noodle supreme ala yellow fit kitchen rendah kalori dan bergizi,jagung
310,chicken soy garlic yangnyeom supreme,ayam,544,nasi merah,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken soy garlic yangnyeom supreme ayam nasi merah menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
311,prawn cake thailand sauce,ikan,536,nasi merah,menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],prawn cake thailand sauce ikan nasi merah menu prawn cake thailand sauce ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
312,opor susu legenda deluxe,lainnya,451,garlic rice,menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],opor susu legenda deluxe lainnya garlic rice menu opor susu legenda deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
313,mac diet panas special,lainnya,527,red grain rice,menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],mac diet panas special lainnya red grain rice menu mac diet panas special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
314,healthy oseng mercon sapi,sapi,507,nasi hitam,menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],healthy oseng mercon sapi sapi nasi hitam menu healthy oseng mercon sapi ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
315,baked fish mozaru,ikan,537,pasta,menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],baked fish mozaru ikan pasta menu baked fish mozaru ala yellow fit kitchen rendah kalori dan bergizi,pasta
316,thai coconut curry baby corn chef s choice,lainnya,549,jagung,menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],thai coconut curry baby corn chef s choice lainnya jagung menu thai coconut curry baby corn chef s choice ala yellow fit kitchen rendah kalori dan bergizi,jagung
317,ayam betutu sambal matah,ayam,546,pasta,menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],ayam betutu sambal matah ayam pasta menu ayam betutu sambal matah ala yellow fit kitchen rendah kalori dan bergizi,pasta
318,japanese beef teriyaki bread supreme,sapi,542,garlic rice,menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],japanese beef teriyaki bread supreme sapi garlic rice menu japanese beef teriyaki bread supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
319,hamburg steak saus teriyaki,sapi,546,garlic rice,menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],hamburg steak saus teriyaki sapi garlic rice menu hamburg steak saus teriyaki ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
320,healthy japanese sushi roll yellowfit,lainnya,528,garlic rice,menu healthy japanese sushi roll yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],healthy japanese sushi roll yellowfit lainnya garlic rice menu healthy japanese sushi roll yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
321,thai coconut curry baby corn signature,lainnya,504,nasi coklat,menu thai coconut curry baby corn signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],thai coconut curry baby corn signature lainnya nasi coklat menu thai coconut curry baby corn signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
322,ayam betutu sambal matah yellowfit,ayam,548,nasi kuning,menu ayam betutu sambal matah yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],ayam betutu sambal matah yellowfit ayam nasi kuning menu ayam betutu sambal matah yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
323,opor susu legenda special,lainnya,511,nasi merah,menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],opor susu legenda special lainnya nasi merah menu opor susu legenda special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
324,chicken soy garlic yangnyeom deluxe,ayam,524,red grain rice,menu chicken soy garlic yangnyeom deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken soy garlic yangnyeom deluxe ayam red grain rice menu chicken soy garlic yangnyeom deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
325,mac diet panas special yellowfit,lainnya,525,garlic rice,menu mac diet panas special yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],mac diet panas special yellowfit lainnya garlic rice menu mac diet panas special yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
326,torikatsu chicken ramen special,ayam,520,nasi coklat,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],torikatsu chicken ramen special ayam nasi coklat menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
327,hamburg steak saus teriyaki chef s choice,sapi,522,nasi coklat,menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],hamburg steak saus teriyaki chef s choice sapi nasi coklat menu hamburg steak saus teriyaki chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
328,thai coconut curry baby corn deluxe,lainnya,523,nasi hitam,menu thai coconut curry baby corn deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],thai coconut curry baby corn deluxe lainnya nasi hitam menu thai coconut curry baby corn deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
329,spaghetti ayam geprek special,ayam,507,nasi hitam,menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],spaghetti ayam geprek special ayam nasi hitam menu spaghetti ayam geprek special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
330,beef short ribs rendang special,sapi,522,garlic rice,menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],beef short ribs rendang special sapi garlic rice menu beef short ribs rendang special ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
331,mac diet panas special deluxe,lainnya,526,nasi coklat,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],mac diet panas special deluxe lainnya nasi coklat menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
332,pizza fit signature,lainnya,525,red grain rice,menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],pizza fit signature lainnya red grain rice menu pizza fit signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
333,soto betawi ayam,ayam,547,pasta,menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],soto betawi ayam ayam pasta menu soto betawi ayam ala yellow fit kitchen rendah kalori dan bergizi,pasta
334,chicken soy garlic yangnyeom,ayam,541,nasi hitam,menu chicken soy garlic yangnyeom ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],chicken soy garlic yangnyeom ayam nasi hitam menu chicken soy garlic yangnyeom ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
335,ayam asam manis healthy deluxe,ayam,523,red grain rice,menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam asam manis healthy deluxe ayam red grain rice menu ayam asam manis healthy deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
336,mac diet panas special chef s choice,lainnya,549,jagung,menu mac diet panas special chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],mac diet panas special chef s choice lainnya jagung menu mac diet panas special chef s choice ala yellow fit kitchen rendah kalori dan bergizi,jagung
337,udang saus blackpepper chef s choice,ikan,543,pasta,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],udang saus blackpepper chef s choice ikan pasta menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,pasta
338,chicken soy garlic yangnyeom yellowfit,ayam,526,pasta,menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],chicken soy garlic yangnyeom yellowfit ayam pasta menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta
339,pizza fit chef s choice,lainnya,543,jagung,menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],pizza fit chef s choice lainnya jagung menu pizza fit chef s choice ala yellow fit kitchen rendah kalori dan bergizi,jagung
340,baked fish mozaru signature,ikan,513,nasi hitam,menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],baked fish mozaru signature ikan nasi hitam menu baked fish mozaru signature ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
341,healthy japanese sushi roll,lainnya,544,nasi hitam,menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],healthy japanese sushi roll lainnya nasi hitam menu healthy japanese sushi roll ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
342,healthy oseng mercon sapi chef s choice,sapi,524,nasi merah,menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],healthy oseng mercon sapi chef s choice sapi nasi merah menu healthy oseng mercon sapi chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
343,prawn cake thailand sauce special,ikan,524,nasi kuning,menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],prawn cake thailand sauce special ikan nasi kuning menu prawn cake thailand sauce special ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
344,prawn cake thailand sauce chef s choice,ikan,530,pasta,menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],prawn cake thailand sauce chef s choice ikan pasta menu prawn cake thailand sauce chef s choice ala yellow fit kitchen rendah kalori dan bergizi,pasta
345,baked fish mozaru chef s choice,ikan,539,nasi merah,menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],baked fish mozaru chef s choice ikan nasi merah menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
346,indonesian beef bakso signature,sapi,518,red grain rice,menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],indonesian beef bakso signature sapi red grain rice menu indonesian beef bakso signature ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
347,ginger chicken ramen kuroda special,ayam,543,red grain rice,menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ginger chicken ramen kuroda special ayam red grain rice menu ginger chicken ramen kuroda special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
348,healthy oseng mercon sapi yellowfit,sapi,512,garlic rice,menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],healthy oseng mercon sapi yellowfit sapi garlic rice menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
349,japanese beef teriyaki bread,sapi,527,nasi hitam,menu japanese beef teriyaki bread ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],japanese beef teriyaki bread sapi nasi hitam menu japanese beef teriyaki bread ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
350,soto betawi ayam chef s choice,ayam,532,nasi kuning,menu soto betawi ayam chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],soto betawi ayam chef s choice ayam nasi kuning menu soto betawi ayam chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
351,thai coconut curry baby corn,lainnya,520,nasi coklat,menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],thai coconut curry baby corn lainnya nasi coklat menu thai coconut curry baby corn ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
352,torikatsu chicken ramen special,ayam,546,nasi coklat,menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],torikatsu chicken ramen special ayam nasi coklat menu torikatsu chicken ramen special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
353,indonesian beef bakso special,sapi,543,red grain rice,menu indonesian beef bakso special ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],indonesian beef bakso special sapi red grain rice menu indonesian beef bakso special ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
354,healthy oseng mercon sapi yellowfit,sapi,542,pasta,menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],healthy oseng mercon sapi yellowfit sapi pasta menu healthy oseng mercon sapi yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta
355,chicken egg okonomiyaki deluxe,ayam,542,garlic rice,menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],chicken egg okonomiyaki deluxe ayam garlic rice menu chicken egg okonomiyaki deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
356,indonesian beef bakso yellowfit,sapi,519,nasi merah,menu indonesian beef bakso yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],indonesian beef bakso yellowfit sapi nasi merah menu indonesian beef bakso yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
357,baked fish mozaru chef s choice,ikan,517,jagung,menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],baked fish mozaru chef s choice ikan jagung menu baked fish mozaru chef s choice ala yellow fit kitchen rendah kalori dan bergizi,jagung
358,mac diet panas special deluxe,lainnya,549,garlic rice,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],mac diet panas special deluxe lainnya garlic rice menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
359,chicken truffle meatballs yellowfit,ayam,537,pasta,menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],chicken truffle meatballs yellowfit ayam pasta menu chicken truffle meatballs yellowfit ala yellow fit kitchen rendah kalori dan bergizi,pasta
360,chicken soy garlic yangnyeom supreme,ayam,530,jagung,menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],chicken soy garlic yangnyeom supreme ayam jagung menu chicken soy garlic yangnyeom supreme ala yellow fit kitchen rendah kalori dan bergizi,jagung
361,ayam goreng kunyit signature,ayam,549,pasta,menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],ayam goreng kunyit signature ayam pasta menu ayam goreng kunyit signature ala yellow fit kitchen rendah kalori dan bergizi,pasta
362,khao soi noodle special,lainnya,549,nasi kuning,menu khao soi noodle special ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],khao soi noodle special lainnya nasi kuning menu khao soi noodle special ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
363,indonesian beef bakso supreme,sapi,541,nasi kuning,menu indonesian beef bakso supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],indonesian beef bakso supreme sapi nasi kuning menu indonesian beef bakso supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
364,udang saus blackpepper chef s choice,ikan,532,nasi kuning,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],udang saus blackpepper chef s choice ikan nasi kuning menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
365,ayam asam manis healthy chef s choice,ayam,543,red grain rice,menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],ayam asam manis healthy chef s choice ayam red grain rice menu ayam asam manis healthy chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
366,chicken soy garlic yangnyeom yellowfit,ayam,543,red grain rice,menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],chicken soy garlic yangnyeom yellowfit ayam red grain rice menu chicken soy garlic yangnyeom yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
367,soto betawi ayam deluxe,ayam,532,garlic rice,menu soto betawi ayam deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],soto betawi ayam deluxe ayam garlic rice menu soto betawi ayam deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
368,salmon red thai curry yellowfit,ikan,535,jagung,menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['jagung'],salmon red thai curry yellowfit ikan jagung menu salmon red thai curry yellowfit ala yellow fit kitchen rendah kalori dan bergizi,jagung
369,ayam betutu sambal matah deluxe,ayam,547,garlic rice,menu ayam betutu sambal matah deluxe ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam betutu sambal matah deluxe ayam garlic rice menu ayam betutu sambal matah deluxe ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
370,chicken egg okonomiyaki special,ayam,513,nasi hitam,menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,['nasi hitam'],chicken egg okonomiyaki special ayam nasi hitam menu chicken egg okonomiyaki special ala yellow fit kitchen rendah kalori dan bergizi,nasi hitam
371,chicken truffle meatballs signature,ayam,525,garlic rice,menu chicken truffle meatballs signature ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],chicken truffle meatballs signature ayam garlic rice menu chicken truffle meatballs signature ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
372,bakwan sayur healthy,lainnya,547,pasta,menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],bakwan sayur healthy lainnya pasta menu bakwan sayur healthy ala yellow fit kitchen rendah kalori dan bergizi,pasta
373,ayam goreng kunyit supreme,ayam,518,garlic rice,menu ayam goreng kunyit supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],ayam goreng kunyit supreme ayam garlic rice menu ayam goreng kunyit supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
374,beef short ribs rendang yellowfit,sapi,528,garlic rice,menu beef short ribs rendang yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],beef short ribs rendang yellowfit sapi garlic rice menu beef short ribs rendang yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
375,ayam betutu sambal matah deluxe,ayam,542,pasta,menu ayam betutu sambal matah deluxe ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],ayam betutu sambal matah deluxe ayam pasta menu ayam betutu sambal matah deluxe ala yellow fit kitchen rendah kalori dan bergizi,pasta
376,beef short ribs rendang yellowfit,sapi,519,red grain rice,menu beef short ribs rendang yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],beef short ribs rendang yellowfit sapi red grain rice menu beef short ribs rendang yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
377,chicken egg okonomiyaki supreme,ayam,547,nasi kuning,menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi,['nasi kuning'],chicken egg okonomiyaki supreme ayam nasi kuning menu chicken egg okonomiyaki supreme ala yellow fit kitchen rendah kalori dan bergizi,nasi kuning
378,udang saus blackpepper chef s choice,ikan,546,garlic rice,menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,['nasi putih'],udang saus blackpepper chef s choice ikan garlic rice menu udang saus blackpepper chef s choice ala yellow fit kitchen rendah kalori dan bergizi,nasi putih
379,opor susu legenda yellowfit,lainnya,546,nasi coklat,menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],opor susu legenda yellowfit lainnya nasi coklat menu opor susu legenda yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
380,udang saus blackpepper yellowfit,ikan,530,red grain rice,menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi,['nasi merah'],udang saus blackpepper yellowfit ikan red grain rice menu udang saus blackpepper yellowfit ala yellow fit kitchen rendah kalori dan bergizi,nasi merah
381,mac diet panas special deluxe,lainnya,530,pasta,menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,['pasta'],mac diet panas special deluxe lainnya pasta menu mac diet panas special deluxe ala yellow fit kitchen rendah kalori dan bergizi,pasta
